POINT_ID;BD 0-10;BD 10-20;BD 20-30;BD 0-20
30283550;219;359;;289
26762002;1303;1536;;142
27842416;892;1018;;955
26942016;1068;1111;;1089
26962018;956;1219;;1088
30303360;852;1034;;943
27922412;872;1072;;972
27022016;1516;127;1314;1393
27962406;1076;1206;;1141
26881938;1273;1199;1283;1236
28002400;1287;1388;;1337
27122016;927;887;889;907
27162028;871;887;1004;879
26581768;1133;;;
27402128;1562;137;;1466
28102420;818;893;;856
27782284;986;1016;1015;1001
27982368;1078;1086;;1082
27061970;1245;1319;1223;1282
28022380;1138;1211;;1175
28082404;1171;1292;;1232
27462138;1298;1404;1486;1351
26741814;1223;1439;1523;1331
27021938;1485;1527;1521;1506
27182008;1436;;;
27722242;853;916;923;885
27202006;1043;984;1094;1013
27482128;1193;12;1395;1196
27702222;895;1095;1026;995
27882298;923;1034;;979
27722228;1196;1128;1087;1162
28082380;1119;1267;;1193
27762242;051;605;715;557
27742232;601;722;844;661
26761786;1083;1063;876;1073
27302020;1249;1259;968;1254
27522114;1311;1262;1185;1286
27001882;143;1413;1505;1421
27201962;155;1454;1474;1502
27542110;1365;1303;1152;1334
27562118;1388;1563;;1475
31103548;807;791;;799
27382028;948;1106;1093;1027
30623360;945;117;;1058
28322424;919;095;;935
28222378;609;899;;754
26841764;1021;1036;996;1029
28142338;061;685;;647
27842206;1118;;;
28162332;1017;1113;;1065
28362414;783;815;;799
27281940;1271;1222;1281;1246
28342404;671;846;;759
31003478;131;244;;188
30663346;089;1169;;103
27241916;1208;1241;1218;1225
28422424;1453;1571;;1512
28022250;1221;1011;097;1116
28262354;069;968;;829
27081828;1197;1429;143;1313
31063480;1308;1348;;1328
28362378;816;085;;833
27101814;1269;1359;1273;1314
28442408;699;739;;719
27341920;1319;1199;1265;1259
27181846;1419;1543;1614;1481
28282334;761;777;;769
27221858;1501;1528;1446;1515
28402378;662;639;;651
28362360;103;1183;;1107
30823370;987;1093;;104
28382362;1341;1586;;1464
27161812;1227;1306;129;1267
27902146;929;837;874;883
27561988;1063;952;087;1008
27061758;1305;1228;1136;1267
27381902;1324;1271;1273;1298
27722056;1165;1187;1122;1176
27982170;121;1269;1188;124
27221822;1242;1255;1274;1249
28222270;736;773;;754
27421902;1263;1538;1245;1401
31083442;693;735;;714
28582414;1114;1186;;115
28482368;1065;1124;;1094
27561952;133;1564;1548;1447
28302282;1141;107;;1106
27201772;1315;095;;1132
27361846;1128;;;
27461892;1219;1331;1295;1275
28022146;1134;101;1188;1072
27922096;857;793;989;825
27481894;1301;1219;1325;126
28402306;632;768;;07
31783686;933;1237;;1085
28742448;773;913;;843
27501892;1158;1242;128;12
27401840;983;1074;1038;1028
28482326;925;965;;945
27241758;1133;1227;1348;118
28202196;991;1062;1099;1027
28042122;922;898;882;091
28022110;1053;1074;1026;1063
28382268;867;874;;871
27321784;1442;1434;;1438
31163428;963;1366;;1165
28822460;665;913;;789
27862032;1375;134;1363;1358
27681946;1258;1248;1228;1253
27461842;1219;;;
28322234;1666;;;
27922046;563;676;715;619
27401804;1474;138;1319;1427
31523558;515;251;;383
28542318;1169;1247;;1208
28102114;1183;1226;1302;1205
27481828;114;1312;1313;1226
31123392;1143;1176;;1159
28602334;946;1017;;981
27321748;1;1092;1173;1046
28282190;915;926;964;921
27641896;1323;1161;1159;1242
28802416;743;829;;786
28362220;1186;1192;1266;1189
28502280;825;981;;903
31163396;989;1226;;1107
27421780;136;1418;1386;1389
27541828;1064;1247;1288;1155
27661882;1005;1131;1147;1068
28562290;1011;1405;;1208
27501802;1354;1376;1355;1365
28762374;412;899;;656
27741908;1166;1153;121;116
27541810;1079;1031;1291;1055
28202116;14;1455;1373;1428
27561812;1509;1526;;1518
28982458;735;985;;086
27501780;156;1492;1554;1526
28102060;796;797;896;797
27421740;1402;1378;1279;139
27741890;1247;1344;1363;1295
27541792;1532;1315;;1424
28282136;664;07;815;682
27921970;1117;1174;1252;1145
27781902;1402;1325;1225;1363
28742340;1452;1588;;152
28982444;805;908;;857
27901954;1189;1325;1294;1257
27881938;1125;1145;1235;1135
27741866;1024;1094;1053;1059
28902396;743;863;;803
28482206;856;942;1294;899
28142050;1068;993;937;103
28382160;883;921;1078;902
27601794;1346;1301;;1324
28502212;1273;;;
28362148;967;968;956;968
27981972;1352;1435;1303;1394
28262098;049;894;978;692
28782334;1055;1136;;1096
28602250;1179;089;981;1034
28682284;888;;;
27821886;1311;124;1348;1276
28722300;893;1076;;985
28662272;1656;1693;;1674
28182048;1055;1042;1039;1049
28122020;1138;1164;1221;1151
28542210;1329;1139;;1234
28262080;681;915;801;798
28622242;1538;1054;;1296
28742296;696;1106;;901
28642250;1228;1353;1256;129
27741830;1117;1315;1323;1216
29002406;305;452;;379
28942378;742;833;;787
28602222;1606;1527;126;1566
29042420;758;855;;806
28542192;1069;1529;1601;1299
28782298;683;878;;078
28762288;891;1095;;993
28262056;1125;1158;1089;1141
28242042;1059;1134;1073;1097
28582198;977;1017;1051;997
28882332;1143;873;;1008
27641752;1154;1131;1126;1142
27821838;1121;1205;;1163
29002384;627;;;
28382100;1067;908;1112;987
29082418;831;893;;862
28782280;518;658;;588
29142438;311;696;;503
28282042;1099;1034;872;1067
27801810;978;1015;1124;997
27881848;1303;1173;;1238
28962348;644;727;;686
27781794;1467;1308;1284;1388
27841822;1259;145;1327;1354
28622188;101;1073;1204;1041
28862294;922;855;;889
28542144;688;971;1129;829
27921848;1037;986;1046;1011
28642186;107;1251;1402;116
28882296;584;569;;576
29082382;637;918;;777
28722216;063;635;766;632
28181964;1014;1037;1138;1025
29042356;595;739;;667
28942306;863;097;;917
28402054;1353;134;129;1346
28722202;1199;1242;1245;1221
28522106;074;882;934;811
28201948;119;116;1267;1175
27961830;117;119;;118
28822226;779;937;983;858
27921800;899;894;;896
29082342;749;738;;744
28762194;1171;1317;1432;1244
28662146;995;1305;128;115
28001832;1281;1286;;1283
28442038;1178;1129;1122;1153
29322442;311;073;;521
28722166;1127;978;1105;1052
28241938;122;1108;1116;1164
29222392;628;895;;761
28281952;119;1159;1241;1175
31523384;829;1098;;963
29122342;397;631;;514
29102326;653;745;;699
28101854;1196;1229;;1213
29182358;765;774;;077
28762162;1619;1381;1661;15
28722138;1504;1316;1438;141
28502024;1445;1393;1391;1419
28962240;912;971;1091;942
32243654;244;539;;392
29082288;817;088;;848
28902202;1192;1456;1524;1324
31983538;702;757;;729
28962222;1271;1354;1724;1312
31703420;843;1002;;922
28542018;1506;1536;1479;1521
28662074;1158;12;113;1179
29242344;606;086;;733
29122288;947;922;;935
29402410;602;659;;631
29262342;663;818;;741
28862140;1269;1361;1456;1315
29482428;625;938;;781
28822118;123;1427;1518;1329
29162278;1179;1212;;1196
29302338;972;977;;975
28802092;1469;1465;1454;1467
29262306;989;1167;;1078
29082220;1119;1156;1196;1137
29222276;1319;947;;1133
29342332;19;;;
29482396;503;;;
31803412;1122;971;;1047
29322312;473;715;;594
29102206;1443;1487;1578;1465
32483682;1444;1528;;1486
29042168;929;;;
29262270;923;1534;;1229
28722000;1247;;;
29042132;1234;1428;1395;1331
31963440;1329;1385;;1357
32463644;557;1034;;796
28301756;1179;1128;;1154
29182186;1185;1243;138;1214
29222204;063;072;731;675
29542352;413;497;;455
28621900;1224;1191;;1207
28681916;1522;1469;;1496
29662386;719;1624;;1171
28721932;1673;1504;;1588
29402258;062;962;;791
29502304;1052;1226;;1139
28661894;1545;;;
29122112;1092;1157;;1124
28441774;1077;977;;1027
29422254;782;889;;835
29622346;1011;;;
29142114;939;1164;;1052
28421754;1198;1323;;1261
29342206;1251;1436;143;1344
32543634;942;115;;1046
29342200;965;1139;1205;1052
29382218;1143;1268;1327;1206
29582312;1225;1221;;1223
29462254;666;918;;792
28761906;1142;1234;;1188
29122076;121;1357;;1283
29182100;1676;1672;;1674
29382188;1124;1199;1263;1162
29542262;986;1138;;1062
28501736;1152;1119;;1135
32563608;787;745;;766
29582266;1021;814;;918
29822380;558;706;;632
32243468;118;6209;;3694
29862388;866;;;
29061990;1324;;;
29342128;1402;1345;;1373
29722312;1297;135;;1324
29702300;1521;1479;;15
29282088;1043;1369;;1206
29402144;911;1261;;1086
29742308;1224;1487;;1356
32383504;819;885;;852
29562218;1209;1237;;1223
29942392;789;1019;;904
28921890;1244;1222;;1233
29382110;1298;1476;;1387
28941888;1209;1275;;1242
29702264;074;075;;745
29582204;1025;;;
30022410;747;985;;866
30002398;829;928;;878
28901850;1038;097;;1004
28721752;996;;;
30002386;902;1323;;1113
28601668;1126;1305;;1215
29041888;1214;1245;;1229
32423468;244;609;;426
28661678;833;1205;;1019
29962314;1108;1194;;1151
29482076;839;769;;804
29682168;1649;1539;;1594
28721676;1299;1324;;1312
29922282;1042;1076;;1059
30042340;1078;1179;;1128
30102368;956;978;;967
29181908;1229;1277;;1253
29722178;1233;1267;;125
29902262;1263;1187;;1225
33023682;423;707;;565
29702138;133;1781;;1555
29962260;1556;1313;;1435
29642098;1137;1201;;1169
30282408;984;11;;1042
29361938;1251;;;
29702110;104;1211;;1126
29922218;918;1346;;1132
29982246;122;1329;;1274
29942222;1211;1261;;1236
29842170;1253;1253;;1253
28941694;1497;134;;1418
30202338;525;669;;597
30122298;1542;1605;;1574
28801616;1318;101;;1164
30182326;592;676;;634
30082276;1564;1567;;1565
30122294;1433;1492;;1463
28901658;1638;;;
30042244;1248;1416;;1332
29261832;1286;1148;;1217
30162292;1124;1287;;1205
29281840;1299;1176;;1238
30122270;1042;1062;;1052
30382396;911;1384;;1147
30042222;967;1236;;1101
29081716;1425;1653;;1539
30042214;1528;1592;;156
30122252;1281;1423;;1352
30262322;769;1037;;903
30322350;957;1089;;1023
29021666;151;1274;;1392
30102228;1161;1333;;1247
29521930;1084;;;
30282318;963;1089;;1026
29982166;1425;1378;;1402
29161738;1276;089;;1083
29922134;1638;1792;;1715
29021660;141;1738;;1574
33003590;094;982;;961
30202274;1197;118;;1189
30042190;1289;139;;1339
29762042;853;781;;817
30142232;1521;1604;;1563
29581942;119;;;
29201738;817;093;;874
29982144;1141;133;;1236
30302302;1315;1362;;1338
29541908;1206;1247;;1226
30202248;1417;139;;1403
30242254;1606;1577;;1592
29281750;1327;1314;;1321
29701972;1307;1316;;1312
29161684;902;946;;924
30402322;1189;1331;;126
29221704;1094;985;;1039
29721970;945;1197;;1071
30322278;1517;1624;;1571
30242236;994;992;;993
29902060;093;1095;;1012
30162192;1186;1214;;12
30222222;1385;1525;;1455
30302258;1297;1324;;131
30182196;1293;15;;1397
30062134;1258;1273;;1266
30162184;1524;1398;;1461
30122158;1248;;;
30322260;1255;1394;;1325
30342270;1634;1583;;1609
30242218;1356;1213;;1285
30302248;1299;1491;;1395
30122154;1313;;;
29201666;1372;1296;;1334
29962070;512;1024;;768
29982076;1252;1416;;1334
29761960;966;1094;;103
30542362;922;107;;996
30302240;1234;1534;;1384
30242206;1402;1385;;1394
30202184;1224;1398;;1311
30422296;1514;1507;;1511
29541836;1119;1088;;1104
29621878;1189;1228;;1209
29942046;952;1232;;1092
29701918;913;952;;933
30362254;15;1509;;1504
29301690;1036;993;;1015
30242188;1254;1272;;1263
29381732;1223;1115;;1169
29361718;1151;1191;;1171
29261662;1366;;;
30082100;1314;1283;;1299
30342234;1245;1408;;1327
30262190;117;1285;;1228
30302208;1434;1474;;1454
33923916;213;072;;466
30502308;1648;1701;;1674
30562338;1078;1208;;1143
30022058;094;1217;;1079
30502304;1389;1726;;1557
30362232;1434;;;
30382238;103;1093;;1061
30322206;146;1382;;1421
30522306;1301;1348;;1324
30222150;1359;;;
30142106;1341;1508;;1425
30262168;1412;1577;;1495
30242156;1423;;;
29401708;1209;127;;124
30202134;1244;1468;;1356
30282174;1028;1052;;104
30462264;1374;1547;;146
29461732;872;1051;;961
30042042;058;731;;656
30702378;674;078;;727
30342192;1176;;;
30502272;1306;1458;;1382
30442240;747;;;
29761880;1372;;;
30422224;1194;1301;;1248
30102056;1152;1248;;12
30302158;1403;1584;;1494
30402208;1282;141;;1346
30182092;1473;1488;;1481
29521732;1095;1247;;1171
30142062;1591;1563;;1577
30502250;1393;1517;;1455
30782390;995;112;;1058
30142056;1161;;;
30282128;1647;1594;;162
30622304;1576;1611;;1593
30662324;1097;1296;;1196
30302136;1263;;;
30282120;1498;1641;;1569
30162054;508;938;;723
30602278;1357;1484;;142
30642296;1326;1391;;1359
30462200;1042;1022;;1032
30802376;1008;1229;;1118
29461660;1223;1129;;1176
29621748;1245;117;;1208
30482208;1348;136;;1354
30502218;1326;1269;;1297
30442186;1221;151;;1365
30582258;1384;1541;;1463
29661762;1008;987;;997
30422170;1373;1583;;1478
30602264;1806;1835;;182
30242074;1285;1485;;1385
30302096;1556;1801;;1679
30502200;1258;;;
30622262;1526;1565;;1545
30582240;1214;1297;;1256
30362124;1901;1674;;1788
29981914;1391;1521;;1456
30522202;1323;1293;;1308
30462170;1482;1635;;1559
29941888;1308;;;
30642260;1542;1742;;1642
30682278;1336;;;
29681740;1094;949;;1021
30502182;1244;1442;;1343
30582222;1293;1315;;1304
30882378;992;1254;;1123
30322080;1091;1329;;121
30362098;1125;121;;1168
30602224;1377;1332;;1355
30702274;1551;1531;;1541
30382104;1212;12;;1206
29941866;1207;1149;;1178
30562194;923;1244;;1084
30542182;1346;1283;;1314
30462138;1347;1386;;1366
29701724;1098;1177;;1137
29761754;1165;;;
30802312;1067;127;;1168
29741732;896;;;
30522156;1178;;;
30562176;1269;;;
30722260;1489;1582;;1535
30882342;852;804;;828
30382072;5517;;;
30802294;106;1223;;1141
29661672;1383;1208;;1295
30502124;144;14;;142
30762262;1367;1405;;1386
30662208;1391;938;;1165
30562152;1367;;;
30482108;1467;1395;;1431
30081890;1242;;;
30261988;1467;1591;;1529
30602170;141;1522;;1466
30442082;1267;1488;;1377
29801730;1221;1223;;1222
30121906;1437;;;
30682206;1518;1471;;1494
30922324;1013;1113;;1063
30742224;1442;133;;1386
29821720;855;1353;;1104
30822264;972;;;
30642164;1096;143;;1263
29921768;1106;1199;;1153
30922310;1523;1619;;1571
30862278;1428;1436;;1432
30622150;1383;1403;;1393
30742212;1189;;;
30341994;2654;2777;;2715
30842262;1546;1681;;1614
30582118;1469;2069;;1769
30081844;1762;1879;;1821
30702180;888;;;
29921750;113;1351;;124
30842252;1422;1643;;1532
30762208;14;1424;;1412
30962308;127;1387;;1329
30381996;2374;2592;;2483
30842244;1386;1681;;1534
29901728;1323;1234;;1278
30642134;1332;165;;1491
30602110;118;1338;;1259
30562086;1333;1271;;1302
30121844;1556;1897;;1727
30802214;1478;1225;;1352
30842234;1196;1549;;1373
30902260;1602;1721;;1661
31122376;465;546;;505
