system:index,annual_mean_temperature_2017_C,id,.geo
0_0,10.952111816406273,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.749834570326882,45.926368900610534]}"
1_0,12.317834472656273,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.184642039249987,44.75855903125516]}"
2_0,12.035302734375023,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.319389331867914,44.803474795461135]}"
3_0,10.648614501953148,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.33373950500457,45.88145313640456]}"
4_0,12.227899169921898,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.184642039249987,44.71364326704918]}"
5_0,12.194787597656273,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.91514745401413,45.387379730138825]}"
6_0,9.940270996093773,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.83966609873883,45.611958551168705]}"
7_0,10.549707031250023,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.6481498544464,45.88145313640456]}"
8_0,10.648614501953148,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.378655269210547,45.97128466481651]}"
9_0,8.054162597656273,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.16343264998106,45.926368900610534]}"
10_0,8.054162597656273,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.20834841418704,45.97128466481651]}"
11_0,11.977593994140648,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.58888391710377,45.117885144902964]}"
12_0,12.209466552734398,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.184642039249987,45.252632437520894]}"
13_0,7.132623291015648,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.16343264998106,46.01620042902249]}"
14_0,9.673242187500023,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.570171513502977,45.52212702275675]}"
15_0,10.831201171875023,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.07609810723724,46.24077925005237]}"
16_0,7.132623291015648,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.118516885775087,46.150947721640414]}"
17_0,8.469201660156273,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.98376959315716,45.836537372198585]}"
