system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
0,-0.06578390610769456,0.150753402998794,0.23356827523739848,6.841706680769865E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,0.011855999311887815,0.03246081827396682,0.25197244083192805,7.501852966074679E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.010008793981139592,0.03486164516228118,0.18564520688458988,6.273550894162055E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.07720582850629056,0.14330235018808718,0.30918831925570495,8.905486587988784E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.00967330046334799,0.026044639396354326,0.23025296483842367,7.566884178701434E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,-0.025533007925568642,0.09638716225879757,0.20888856522877025,7.46105178522352E-5,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
6,0.03511672405787408,0.013626864571604037,0.14749230101678132,7.588400739244291E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.10955479709941932,0.1945738267431904,0.3239849265465957,8.772837991337994E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,0.021446801843812733,0.035570462421899124,0.13204924903099188,6.347508333869609E-5,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,0.008650500632152688,0.022686533180731154,0.2386044475940395,8.517741194339072E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.07797847702890295,0.138495812628428,0.3637735829815125,9.341535992187013E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.06678876985905019,0.1347674031040715,0.3366318530500629,8.611737152448152E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,-0.019553834367336497,0.0674327725801203,0.29654857095082604,8.59130377260347E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,0.031054453555890156,-0.023188720605608112,0.199224977287571,9.098845204741251E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
14,-0.06937534678810915,0.15100417727846732,0.2616513466220266,7.098505611874939E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.10925349615818516,0.190551282166399,0.3512108920192221,8.658283745318161E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,-0.044961390961385655,0.09381069296452292,0.27429986553309055,7.94504438937746E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
17,-0.009634159482662165,0.04354195288177713,0.2469491023332515,8.895499508045426E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323767999999]}"
18,-0.008865124727941239,0.05231892928103363,0.2635522575436772,8.715992465692001E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
19,-0.04930798883239428,0.11800261175251442,0.3159277074957547,8.39903346421282E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
20,-0.09398646990775857,0.16018371443709323,0.3518324197111402,9.450614762266289E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
21,-0.11028107966889035,0.179946691944049,0.36198550389780043,8.647186447754529E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999998,46.330273180000006]}"
22,-0.020130833248935474,0.0882230829867168,0.1774697329855461,6.776541640631575E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
23,-0.013857791138300758,0.03640143830661913,0.2963936826028256,9.643494476160141E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
24,-0.07728005351790934,0.14756812407952666,0.3016218881038696,9.283660452912491E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[25.78670384,45.77472721]}"
25,-0.04824540669901894,0.10272026697559933,0.28996929622802,9.392639230094463E-5,2018-12-13,"{""type"":""Point"",""coordinates"":[26.1090529,46.05595937]}"
26,-0.14722268108765,0.2623465820373917,0.3196785898349366,8.511603553737772E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.411712899999998,45.39277763]}"
27,-0.0345981899425124,0.09507993939776933,0.24116034447725584,6.99923549860106E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.45767984,45.24224979000001]}"
28,-0.014194355716076142,0.06650514464283944,0.2680802009902486,8.355345026409785E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.50033244,46.05601819]}"
29,-0.14080650832217473,0.21148267246365965,0.4422119280414564,9.813157631450869E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[21.365752209999997,46.16144807]}"
30,-0.009412168763064777,0.05272370936670166,0.2804378953932053,8.302370412797895E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[25.707710700000003,46.0432809]}"
31,-0.13690731231811154,0.21651813350228485,0.43982077052472773,9.181088418496987E-5,2018-12-12,"{""type"":""Point"",""coordinates"":[25.67715448,46.029504720000006]}"
32,-0.09318270804376819,0.14983470354314024,0.3723704363178664,9.583746833332664E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.781911979999997,46.38057031]}"
33,0.0247138286860685,-0.018060734065679405,0.18802324006190668,9.012684321907513E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[24.40696359,44.05267033]}"
34,-0.1675001991506914,0.2625933690242802,0.4250810959171793,1.0064828676301495E-4,2018-12-11,"{""type"":""Point"",""coordinates"":[24.250663920000004,44.03796288]}"
35,-0.04672698775937996,0.09620888118938273,0.3054174164379564,8.768707642845442E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.245529249999997,46.27602906]}"
36,-0.07295720720925118,0.13299106921490733,0.35880361444137365,9.200706069723889E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.286307350000005,46.23350622]}"
37,0.020368360321938284,0.005466870465286218,0.23890133551893933,8.712510967859574E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[27.00155297,44.77489119]}"
38,-0.05620247119361848,0.1151983409262864,0.28606606495063913,9.330710198110036E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[21.2596505,45.28193522000001]}"
39,-0.08391274280453984,0.14231351340810458,0.37137506486553895,9.717484617635421E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.29650757,46.268662070000005]}"
40,-0.05835302960232347,0.11186037584157212,0.30002365072760306,8.971207343579576E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.30157739,46.19466120999999]}"
41,-0.043953463900834315,0.09780301132963763,0.3311280224524025,8.80895968799046E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.34747331,46.26127086000001]}"
42,-0.00205177108135542,0.05370075761922938,0.3118208662799825,7.911183235890991E-5,2018-12-11,"{""type"":""Point"",""coordinates"":[25.449671719999998,46.33798358]}"
43,-0.09109065081328414,0.16593264555313045,0.3159070290716754,7.433211037698643E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[22.190298469999995,46.32465086]}"
44,-0.03104381940054708,0.08898267227844008,0.1278809905438559,5.720407035835279E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[25.34517361,47.25070173]}"
45,-0.04221854787186376,0.08995331442284009,0.24500283027421618,8.216959238740846E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[23.8608688,44.621391169999995]}"
46,0.04442790886647093,-0.029183597630015587,0.12155404691622129,7.790198069611524E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[26.889440869999998,45.25304225]}"
47,-0.0710196256683083,0.12658246945310223,0.34978277820047066,9.553207285393616E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[26.55570079,46.46414583]}"
48,-0.07920666228008012,0.16047155885592754,0.28577507942914965,7.730786720260412E-5,2018-12-10,"{""type"":""Point"",""coordinates"":[22.16055712,46.30985618]}"
49,-0.0499900694099297,0.10354972564540674,0.29806993343585053,8.038724805209144E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.63639931,46.80055050000001]}"
50,-0.06767952415606822,0.13190052368428926,0.2694746505364147,8.610109481696143E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[20.98840888,46.11034237]}"
51,-0.10617261071567949,0.1982043437335802,0.3276538898633874,8.159929448004773E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.13500694,46.18591311]}"
52,-0.06953848531037879,0.12712247908811458,0.37864106903851646,9.19526840218143E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.220003920000003,46.34053600000001]}"
53,-0.11973223199604263,0.1981632609506815,0.30774365660383085,7.858060108321221E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.9186964,45.70034492]}"
54,0.02308321035750534,0.006308715808731707,0.18882164385007774,8.258712356505187E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.30393717,46.24076403]}"
55,-0.048040590465663835,0.09072695208144273,0.2961239805186375,8.926698946728115E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.407616040000004,46.35693911]}"
56,-0.20330810278549896,0.3244490597423141,0.45262464133280145,8.628652881747693E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[20.88203715,46.23030572]}"
57,-0.0990266783701049,0.18865130938424005,0.3158911986351013,8.292010681988258E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[21.29269177,45.44203174]}"
58,-0.07048565611128033,0.14821757255858162,0.25732099111239937,6.924635451697085E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.40535364,46.83644281]}"
59,-0.02931460640925725,0.07510233557881565,0.30656670578471157,8.739986861731636E-5,2018-12-09,"{""type"":""Point"",""coordinates"":[26.533747210000005,46.81656351]}"
60,0.008123667369879597,0.011784005058831645,0.23521375975438527,8.940055453797228E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[24.534249560000003,44.0529731]}"
61,-0.10283721727012438,0.18677867067236983,0.3406660377037326,9.318330200287637E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[21.270081729999998,46.08076765]}"
62,-0.04952066317297926,0.09687669933153505,0.3334583165958926,9.253934238584643E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[21.204472030000005,46.14225204]}"
63,-0.029082549246606932,0.07050163145587578,0.3026149090070971,9.408499852462673E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[25.77633074,45.7396134]}"
64,-0.0781164071093261,0.14683625418209242,0.3269613004200354,8.394751274405255E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[22.675180600000004,44.70046809]}"
65,0.001440556874851287,0.04968563415762723,0.20704630530514181,8.275231466274033E-5,2018-12-08,"{""type"":""Point"",""coordinates"":[27.26610554,46.423979380000006]}"
