system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
0,0.02167486987375733,-0.003336287066570628,0.18978177859714337,9.923058056470361E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.508885699999997,45.88684933999999]}"
1,0.053715979731292975,-0.030487296879209477,0.1194840934242446,7.974651516112603E-5,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.06123073561281257,-0.05478430856997851,0.13716027049724266,9.132767549720288E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,0.010025686657600246,0.029630821814199952,0.22066571808296556,8.329109596039807E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,-0.01313477139058755,0.06866878620327761,0.2525528477790241,8.321398436715606E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,0.0495153568880061,-0.03789453490196798,0.16245867255469953,8.8452275355228E-5,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
6,-0.0573586461126857,0.1425268418251784,0.025414800290297797,5.165316351151093E-5,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
7,-0.013360586051281617,0.05689837244632083,0.2900483795370556,8.47856459347097E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
8,0.035185398828735615,-0.027241821568599257,0.13735153426594907,8.689273727454974E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.371596180000004,46.09103729]}"
9,0.01120883880513788,0.03778250703750098,0.09105291157501982,7.675751878881441E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[24.7987846,44.38122329]}"
10,0.045307825114317496,-0.044823328287086704,0.12527794002105933,8.764602033126492E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.320581810000004,46.09747908000001]}"
11,0.01792576190728853,0.02218867071035891,0.1637921255227722,7.283581816995254E-5,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
12,0.01412907037684961,0.003584344458342501,0.16338898964684026,1.0362284463445282E-4,2018-12-16,"{""type"":""Point"",""coordinates"":[14.668462809999998,45.22066291]}"
13,0.044659281884404,-0.01755509177196521,0.10248895735206746,6.593336921748614E-5,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,0.023292599991943413,0.023964267832167468,0.22444456734749227,7.674525922124936E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
15,0.06731011764500786,-0.03208573338353133,0.1171734419082646,7.355038788266464E-5,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
