system:index,BSI,NDMI,NDVI,SOCI,sample_date,.geo
1,0.0537159797312929,-0.0304872968792094,0.1194840934242446,7.974651516112603e-05,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
2,0.0612307356128125,-0.0547843085699785,0.1371602704972426,9.132767549720288e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
3,0.0100256866576002,0.0296308218141999,0.2206657180829655,8.329109596039807e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,-0.0131347713905875,0.0686687862032776,0.2525528477790241,8.321398436715606e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
5,0.0495153568880061,-0.0378945349019679,0.1624586725546995,8.8452275355228e-05,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
6,-0.0573586461126857,0.1425268418251784,0.0254148002902977,5.165316351151093e-05,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783064999999]}"
7,-0.0133605860512816,0.0568983724463208,0.2900483795370556,8.47856459347097e-05,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
11,0.0179257619072885,0.0221886707103589,0.1637921255227722,7.283581816995254e-05,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
13,0.044659281884404,-0.0175550917719652,0.1024889573520674,6.593336921748614e-05,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
14,0.0232925999919434,0.0239642678321674,0.2244445673474922,7.674525922124936e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
15,0.0673101176450078,-0.0320857333835313,0.1171734419082646,7.355038788266464e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675927999999]}"
16,0.0769862278873567,-0.025665614922243,0.1431954636628697,6.409407588231531e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
18,-0.0295686804470088,0.1007615889774428,0.1013777365220917,6.0635437367535714e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
19,0.0388974134319177,-0.0354512329359231,0.1196958767308544,0.00010468782368392266,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
21,0.0102904744221799,0.0204409325553831,0.2523811933705625,9.259945340898314e-05,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
22,0.0198061504201393,0.0132600382051205,0.1238568687343706,7.509083014521662e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[24.09886923,44.04069183000001]}"
23,0.0133478943878326,0.0172495587092122,0.2643784563842801,9.367756471861164e-05,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
