system:index,BSI,NDMI,NDVI,SOCI,lat,long,sample_date,.geo
0,-0.006972362990161992,0.06333291210923427,0.09691890641587421,7.130501686445629E-5,45.93337585,22.72922449,2018-12-20,"{""type"":""Point"",""coordinates"":[22.72922449,45.93337585]}"
1,0.02737180469725752,0.008005105195203897,0.12055633835736597,6.948596352158874E-5,44.77273911,28.19885488,2018-12-19,"{""type"":""Point"",""coordinates"":[28.198854880000003,44.77273911]}"
2,0.08522975703503796,-0.10260410939198888,0.09511561631643004,9.200806811002081E-5,44.78567174,28.33373863,2018-12-19,"{""type"":""Point"",""coordinates"":[28.333738630000003,44.785671740000005]}"
3,-0.02348277923665138,0.07674386114784362,0.14266259048734517,6.711320235362426E-5,45.86112369,23.31415124,2018-12-19,"{""type"":""Point"",""coordinates"":[23.314151240000005,45.86112368999999]}"
4,0.023200325143730015,0.013805843691506612,0.1307655760781211,7.515620590014075E-5,44.7204723,28.18146242,2018-12-19,"{""type"":""Point"",""coordinates"":[28.181462420000003,44.720472300000004]}"
5,0.01935015188732299,8.690996602710273E-4,0.07468026979034806,7.306286658747912E-5,45.37783065,27.90215325,2018-12-18,"{""type"":""Point"",""coordinates"":[27.902153249999998,45.37783065]}"
6,-0.06165285135220678,0.12862011316508642,0.3414015547632113,8.766310202836832E-5,45.59291307,22.83116171,2018-12-17,"{""type"":""Point"",""coordinates"":[22.83116171,45.59291307]}"
7,-0.02922788941346148,0.09752799494994067,0.19632342828974605,7.512372670966752E-5,45.88955448,23.66215374,2018-12-17,"{""type"":""Point"",""coordinates"":[23.66215374,45.88955448000001]}"
8,0.011545401040625892,0.015640344961493705,0.08699790945822905,7.104449824982507E-5,45.9607984,23.3914774,2018-12-15,"{""type"":""Point"",""coordinates"":[23.3914774,45.9607984]}"
9,0.030592038130356315,-0.008459165314933412,0.09588187826719825,6.634043168087437E-5,45.93910612,26.15296623,2018-12-14,"{""type"":""Point"",""coordinates"":[26.15296623,45.93910612]}"
10,-0.019078423651906613,0.07875292048210852,0.1795991326532899,6.160409897129156E-5,45.96637006,26.2142416,2018-12-14,"{""type"":""Point"",""coordinates"":[26.2142416,45.96637006]}"
11,-0.034770559884721185,0.07462345317819871,0.24016474136680818,1.0525753972429703E-4,45.1289444,28.58155612,2018-12-14,"{""type"":""Point"",""coordinates"":[28.581556120000002,45.1289444]}"
12,0.001976129923015833,0.03859091388682524,0.1490825650162167,6.71493062335584E-5,45.25614939,28.17747838,2018-12-14,"{""type"":""Point"",""coordinates"":[28.177478379999997,45.256149390000004]}"
13,-0.03419532610466128,0.10441749205367756,0.1167086280948293,6.0623607920705304E-5,46.02675928,26.17970137,2018-12-14,"{""type"":""Point"",""coordinates"":[26.179701370000004,46.02675928000001]}"
14,-0.02556014495145847,0.08142415129416727,0.15058881870299715,5.404429208495625E-5,45.53489947,22.55744594,2018-12-14,"{""type"":""Point"",""coordinates"":[22.557445939999997,45.53489946999999]}"
15,-0.03522875929473018,0.07568652299981236,0.24853126203672046,9.306462438859824E-5,46.24475882,22.09304155,2018-12-13,"{""type"":""Point"",""coordinates"":[22.093041549999995,46.24475882]}"
16,0.021509794127718,-0.018080262026884925,0.16816608024509896,7.730777847610989E-5,46.14750266,26.11042602,2018-12-13,"{""type"":""Point"",""coordinates"":[26.110426019999995,46.14750266]}"
17,0.053534979354061776,-0.05299007780651781,0.09996419193236332,9.000507868628858E-5,45.85323768,25.99479461,2018-12-13,"{""type"":""Point"",""coordinates"":[25.994794610000003,45.85323768]}"
18,-0.008878862727075242,0.06051231093763315,0.10688806439821535,7.025591280485155E-5,45.84338366,25.93902395,2018-12-13,"{""type"":""Point"",""coordinates"":[25.93902395,45.84338366]}"
19,0.059819053154285644,-0.05071373670340673,0.13998944976422342,8.96297007909185E-5,44.04069183,24.09886923,2018-12-13,"{""type"":""Point"",""coordinates"":[24.098869230000005,44.04069183]}"
20,-0.003004126165922676,0.035276181464604296,0.20294694620520265,8.029954651277674E-5,46.45157305,22.03475539,2018-12-13,"{""type"":""Point"",""coordinates"":[22.03475539,46.45157305000001]}"
21,-0.04684051483140125,0.08994582617798678,0.2685133762970255,8.678312797900829E-5,46.33027318,21.98085092,2018-12-13,"{""type"":""Point"",""coordinates"":[21.980850919999995,46.33027318]}"
22,-0.015819053395015333,0.06412456535526022,0.18146528295875627,7.213414088441374E-5,46.42478295,21.94950341,2018-12-13,"{""type"":""Point"",""coordinates"":[21.949503410000002,46.42478295]}"
23,-0.023926520225512043,0.09137324385358032,0.12565794631499544,5.998197335690945E-5,46.09687125,26.2011706,2018-12-13,"{""type"":""Point"",""coordinates"":[26.201170600000005,46.09687125]}"
