PointID;HorizontID;Upper limit;Lower limit;Horizon symbol;Soil texture class;Soil colour;Stones;Carbonate class;Organic matter content class;Rooting intensity
2;1;0;28;"I; Ap";Sl2;7.5YR 3/2;3;C0;h3;Wf4
2;2;28;54;"I; E";Sl2;10YR 3/3;3;C0;h2;Wf3
2;3;54;68;"II; Bv";Sl2;7.5YR 4/3;10;C0;h1;Wf3
2;4;68;96;"III; Bv-ilCv";fSms;7.5YR 6/4;1;C0;h0;Wf2
2;5;96;201;"III; ilCv";mSfs;10YR 7/4;1;C0;h0;
3;1;0;12;"I; tbSw-Ah";Ls3;10YR 4/2;0;C0;h3;Wf6
3;2;12;30;"I; tbSw-rAp";Ls2;10YR 4/2;0;C0;h2;Wf4
3;3;30;54;"I; tbrGo-Sw";Ls4;2.5Y 5/1;0;C0;h1;Wf2
3;4;54;125;"I; tbGo-Sd";Lu;5Y 5/1;0;C0;h1;
3;5;125;160;"II; tmGor";Su3;5Y 5/1;0;C0;h1;
3;6;160;201;"II; tmeGr";Su3;GLEY1 4/5GY;0;C3.2;h1;
4;1;0;30;"I; Sw-tbAp";Tu3;5Y 5/2;0;C0;h3;Wf4
4;2;30;74;"I; tbSq";Tu3;5Y 5/1;0;C0;h1;Wf3
4;3;74;140;"I; tbGro";Tu4;5Y 6/1;0;C0;h0;Wf1
4;4;140;200;"I; tbGr";Tu4;GLEY1 5/N;0;C0;h0;
5;1;0;9;"I; Aeh";fSms;10YR 3/1;0;C0;h3;Wf6
5;2;9;30;"I; rAep";fSms;10YR 4/1;1;C0;h2;Wf5
5;3;30;54;"I; oCv";fSms;10YR 4/2;0;C0;h2;Wf2
5;4;54;58;"II; fOh";NA;10YR 2/1;0;C0;NA;Wf2
5;5;58;62;"II; Aeh";fSms;7.5YR 2.5/1;0;C0;h5;Wf2
5;6;62;69;"II; Ae";fSms;10YR 6/1;0;C0;h1;Wf2
5;7;69;80;"II; fBsh°Go";fSms;5YR 3/2;0;C0;h3;Wf1
5;8;80;90;"II; fBs°Go";fSms;5YR 4/3;0;C0;h2;Wf1
6;1;0;8;"I; R-aAh";Su2;5YR 3/3;1;C0;h3;Wf6
6;2;8;30;"I; R+arAp";Su2;5YR 3/3;1;C0;h3;Wf3
6;3;30;50;"I; R+aGso+aGr";mSfs;10YR 6/2;1;C0;h1;Wf1
6;4;50;70;"I; R+aGr+aGso";mSfs;5YR 3/2;1;C0;h4;Wf1
6;5;70;120;"I; R+aGo+aGso";mS;10YR 6/6;1;C0;h1;Wf0
6;6;120;170;"II; aGr1";mSgs;2.5Y 6/1;1;C0;h0;Wf0
6;7;170;201;"II; aGr2";fSms;2.5Y 6/1;1;C0;h0;Wf0
7;1;0;27;"I; tbAp";Lt2;10YR 3/2;0;C0;h3;Wf3
7;2;27;39;"II; tbSq1";Tu3;2.5Y 5/4;0;C0;h2;Wf3
7;3;39;48;"II; tbSq2";Tu3;2.5Y 3/2;0;C0;h2;Wf3
7;4;48;74;"II; tbGro";Tu3;2.5Y 5/2;0;C0;h2;Wf2
7;5;74;120;"III; tbGor";Ut4;5Y 5/1;0;C0;h2;Wf0
7;6;120;130;"III; tbGr";Ut4;5Y 3/1;0;C0;h3;Wf0
7;7;130;201;"IV; nHr";Hn;10YR 2/1;0;C0;h7;Wf0
8;1;0;14;"I; tbAp";Sl4;10YR 3/1;0;C0;h3;Wf4
8;2;14;30;"I; tbAp-Go";Sl4;10YR 3/1;0;C0;h3;Wf3
8;3;30;40;"II; fAh+ilCv";Su2;10YR 4/2;0;C0;h2;Wf2
8;4;40;67;"III; fAeh°Go";fSms;7.5YR 3/1;0;C0;h3;Wf1
8;5;67;82;"III; fBsh°Go";fSms;5YR 2.5/1;0;C0;h3;Wf1
8;6;82;100;"III; fBs°Gw";Su2;7.5YR 4/6;0;C0;h0;
8;7;100;125;"III; Gr";Su2;10YR 4/4;0;C0;h0;
8;8;125;176;"IV; nHr";Hn;10YR 3/4;0;C0;h7;
10;1;0;30;"I; Ap";fSms;10YR 2/1;1;C0;h4;Wf3
10;2;30;50;"I; Go-Bhs";fSms;5YR 3/4;3;C0;h1;Wf2
10;3;50;70;"I; Bs-Go1";fS;10YR 5/6;1;C0;h0;Wf1
10;4;70;115;"I; Bs-Go2";fSms;5YR 3/4;1;C0;h0;Wf0
10;5;115;167;"II; Gor";Su2;2.5YR 5/4;15;C0;h0;Wf0
10;6;167;201;"II; Gr";Sl2;5Y 4/1;2;C0;h0;Wf0
11;1;0;12;"I; Aeh";fSms;7.5YR 3/1;0;C0;h4;Wf6
11;2;12;27;"I; Go-rAp";fSms;7.5YR 3/1;0;C0;h4;Wf4
11;3;27;52;"I; Go";fSms;2.5Y 5/1;0;C0;h1;Wf2
11;4;52;70;"I; Gor";fSms;5Y 5/1;0;C0;h0;
11;5;70;201;"I; Gr";fS;5Y 4/1;0;C0;h0;
12;1;0;26;"I; jAp";Su2;10YR 3/2;3;C0;h4;Wf3
12;2;26;50;"II; fAp";Su2;10YR 2/1;4;C0;h5;Wf2
12;3;50;68;"II; Go-Bhs";mSfs;7.5YR 4/3;3;C0;h1;Wf1
12;4;68;115;"II; Gw";fSms;7.5YR 5/3;4;C0;h1;Wf0
12;5;115;165;"II; Gr";mSfs;2.5Y 4/2;4;C0;h0;Wf0
12;6;165;201;"II; oGr";mSfs;2.5Y 3/2;4;C0;h2;Wf0
14;1;0;30;"I; Aep";mSfs;7.5YR 3/1;1;C0;h3;Wf3
14;2;30;40;"I; rAep";mSfs;7.5YR 4/1;1;C0;h2;Wf1
14;3;40;54;"I; ilCv+Bsh+Bs";mSfs;5YR 3/3;1;C0;h2;Wf1
14;4;54;73;"I; Bhs+ilCv";mSfs;7.5YR 4/6;1;C0;h1;Wf0
14;5;73;140;"I; ilCv";mSfs;10YR 7/4;1;C0;h0;Wf0
14;6;140;201;"I; Gw";fSms;10YR 6/4;1;C0;h0;Wf0
15;1;0;33;"I; Ap";Sl3;10YR 3/3;4;C0;h3;Wf4
15;2;33;120;"I; M";Sl3;10YR 4/3;4;C0;h2;Wf3
15;3;120;130;"II; fAh";Sl3;10YR 3/2;3;C0;h3;
15;4;130;201;"III; Swd";Ls3;2.5Y 5/4;5;C0;h0;
16;1;0;33;"I; tmAp";Ls3;2.5Y 3/1;0;C0;h3;Wf4
16;2;33;59;"II; tmGo";Tu3;2.5Y 4/1;0;C0;h1;Wf3
16;3;59;71;"III; fnHw";Hnp;10YR 2/2;0;C0;h7;
16;4;71;97;"III; fnHr1";Hnp;10YR 2/1;0;C0;h7;
16;5;97;133;"III; fnHr2";Hnr;7.5YR 2.5/3;0;C1;h7;
16;6;133;160;"IV; tmGr1";fS;2.5Y 5/3;0;C0;h1;
16;7;160;201;"IV; tmGr2";Su2;5Y 6/1;0;C0;h0;
17;1;0;32;"I; tbGo-Ap";Tu3;2.5Y 3/2;0;C0;h3;Wf4
17;2;32;50;"I; tbGo";Tu3;2.5Y 4/2;0;C0;h2;Wf3
17;3;50;74;"I; tbGro";Tu3;2.5Y 4/1;0;C0;h2;Wf2
17;4;74;98;"I; tbGor";Tu3;5Y 4/1;0;C0;h3;Wf1
17;5;98;130;"II; fnHr1";Ha;10YR 3/2;0;C0;h7;
17;6;130;201;"II; fnHr2";Hnr;7.5YR 2.5/1;0;C0;h7;
18;1;0;33;"I; Ap";Su2;10YR 2/1;2;C0;h5;Wf4
18;2;33;42;"I; Go";Su2;10YR 5/3;10;C0;h1;Wf2
18;3;42;52;"II; Go";mSfs;10YR 6/3;2;C0;h1;Wf1
18;4;52;87;"II; Gro";mSgs;10YR 5/2;2;C0;h0;Wf0
18;5;87;140;"II; Gr";fSms;2.5Y 4/1;2;C0;h0;Wf0
18;6;140;175;"III; eGr";Ls4;5Y 5/1;2;C3.3;h0;Wf0
19;1;0;34;"I; Ap";fSms;10YR 2/1;2;C0;h4;Wf3
19;2;34;46;"I; Bh-Gw";fSms;7.5YR 4/2;2;C0;h1;Wf1
19;3;46;60;"I; Gw";mS;10YR 6/4;1;C0;h0;Wf0
19;4;60;168;"I; Gr";fSms;10YR 6/3;0;C0;h0;Wf0
19;5;168;185;"II; Gr";mSgs;2.5Y 5/3;10;C0;h1;Wf0
